A,B,C
2021?9?1?,2.137,-0.88%
2021?8?31?,2.156,-2.84%
2021?8?30?,2.219,-1.77%
2021?8?27?,2.259,0.67%
2021?8?26?,2.244,-3.77%
2021?8?25?,2.332,-1.27%
2021?8?24?,2.362,1.46%
2021?8?23?,2.328,1.97%
2021?8?20?,2.283,0.35%
2021?8?19?,2.275,1.79%
2021?8?18?,2.235,0.59%
2021?8?17?,2.222,-4.06%
2021?8?16?,2.316,1.05%
2021?8?13?,2.292,-4.06%
2021?8?12?,2.389,1.31%
2021?8?11?,2.358,0.47%
2021?8?10?,2.347,-1.72%
2021?8?9?,2.388,-2.33%
2021?8?6?,2.445,-2.16%
2021?8?5?,2.499,0.16%
2021?8?4?,2.495,4.96%
2021?8?3?,2.377,-6.20%
2021?8?2?,2.534,-3.50%
2021?7?30?,2.626,3.63%
2021?7?29?,2.534,7.88%
2021?7?28?,2.349,-0.93%
2021?7?27?,2.371,1.11%
2021?7?26?,2.345,2.99%
2021?7?23?,2.277,-0.52%
2021?7?22?,2.289,4.76%
2021?7?21?,2.185,4.70%
2021?7?20?,2.087,1.76%
2021?7?19?,2.051,0.39%
2021?7?16?,2.043,-2.25%
2021?7?15?,2.09,0.53%
2021?7?14?,2.079,-0.76%
2021?7?13?,2.095,-4.73%
2021?7?12?,2.199,1.15%
2021?7?9?,2.174,-1.41%
2021?7?8?,2.205,3.91%
2021?7?7?,2.122,2.41%
2021?7?6?,2.072,-2.08%
2021?7?5?,2.116,4.24%
2021?7?2?,2.03,-2.73%
2021?7?1?,2.087,-2.34%
2021?6?30?,2.137,5.06%
2021?6?29?,2.034,-0.64%
2021?6?28?,2.047,2.15%
2021?6?25?,2.004,1.88%
2021?6?24?,1.967,-2.53%
2021?6?23?,2.018,4.51%
2021?6?22?,1.931,-0.26%
2021?6?21?,1.936,-1.38%
2021?6?18?,1.963,1.13%
2021?6?17?,1.941,8.31%
2021?6?16?,1.792,-2.71%
2021?6?15?,1.842,1.49%
2021?6?14?,1.815,0.00%
2021?6?11?,1.815,-2.05%
2021?6?10?,1.853,1.53%
2021?6?9?,1.825,1.22%
2021?6?8?,1.803,-1.04%
2021?6?7?,1.822,1.50%
2021?6?4?,1.795,2.05%
2021?6?3?,1.759,-1.40%
2021?6?2?,1.784,-0.61%
2021?6?1?,1.795,1.87%
2021?5?31?,1.762,2.03%
2021?5?28?,1.727,-0.97%
2021?5?27?,1.744,4.81%
2021?5?26?,1.664,-0.72%
2021?5?25?,1.676,3.14%
2021?5?24?,1.625,1.12%
2021?5?21?,1.607,-1.05%
2021?5?20?,1.624,-0.06%
2021?5?19?,1.625,0.68%
2021?5?18?,1.614,-0.62%
2021?5?17?,1.624,0.74%
2021?5?14?,1.612,2.41%
2021?5?13?,1.574,-0.32%
2021?5?12?,1.579,2.13%
2021?5?11?,1.546,0.19%
2021?5?10?,1.543,-2.22%
2021?5?7?,1.578,-4.83%
2021?5?6?,1.658,-1.95%
2021?5?5?,1.691,0.00%
2021?5?4?,1.691,0.00%
2021?5?3?,1.691,0.00%
2021?4?30?,1.691,-0.24%
2021?4?29?,1.695,1.07%
2021?4?28?,1.677,1.02%
2021?4?27?,1.66,-0.30%
2021?4?26?,1.665,0.36%
2021?4?23?,1.659,1.10%
2021?4?22?,1.641,0.98%
2021?4?21?,1.625,-0.25%
2021?4?20?,1.629,-0.97%
2021?4?19?,1.645,2.05%
2021?4?16?,1.612,-0.86%
2021?4?15?,1.626,-0.49%
2021?4?14?,1.634,0.49%
2021?4?13?,1.626,-1.28%
2021?4?12?,1.647,-0.72%
2021?4?9?,1.659,-0.78%
2021?4?8?,1.672,-0.48%
2021?4?7?,1.68,0.90%
2021?4?6?,1.665,-0.72%
2021?4?5?,1.677,0.00%
2021?4?2?,1.677,4.88%
2021?4?1?,1.599,4.37%
2021?3?31?,1.532,0.39%
2021?3?30?,1.526,0.13%
2021?3?29?,1.524,0.59%
2021?3?26?,1.515,1.81%
2021?3?25?,1.488,0.61%
2021?3?24?,1.479,-2.57%
2021?3?23?,1.518,-0.52%
2021?3?22?,1.526,0.46%
2021?3?19?,1.519,-0.85%
2021?3?18?,1.532,-0.45%
2021?3?17?,1.539,2.67%
2021?3?16?,1.499,-1.45%
2021?3?15?,1.521,-4.22%
2021?3?12?,1.588,-1.91%
2021?3?11?,1.619,3.32%
2021?3?10?,1.567,0.45%
2021?3?9?,1.56,-5.17%
2021?3?8?,1.645,-3.91%
2021?3?5?,1.712,-1.55%
2021?3?4?,1.739,-3.07%
2021?3?3?,1.794,-0.33%
2021?3?2?,1.8,1.81%
2021?3?1?,1.768,2.91%
2021?2?26?,1.718,-1.49%
2021?2?25?,1.744,-0.85%
2021?2?24?,1.759,0.69%
2021?2?23?,1.747,-0.63%
2021?2?22?,1.758,-2.71%
2021?2?19?,1.807,-0.66%
2021?2?18?,1.819,2.88%
2021?2?17?,1.768,0.00%
2021?2?16?,1.768,0.00%
2021?2?15?,1.768,0.00%
2021?2?12?,1.768,0.00%
2021?2?11?,1.768,0.00%
2021?2?10?,1.768,0.17%
2021?2?9?,1.765,1.15%
2021?2?8?,1.745,2.05%
2021?2?5?,1.71,-2.68%
2021?2?4?,1.757,-0.40%
2021?2?3?,1.764,-3.66%
2021?2?2?,1.831,0.55%
2021?2?1?,1.821,0.94%
2021?1?29?,1.804,-2.38%
2021?1?28?,1.848,-3.60%
2021?1?27?,1.917,-1.24%
2021?1?26?,1.941,-1.77%
2021?1?25?,1.976,0.36%
2021?1?22?,1.969,-1.65%
2021?1?21?,2.002,-0.25%
2021?1?20?,2.007,0.70%
2021?1?19?,1.993,-1.73%
2021?1?18?,2.028,5.46%
2021?1?15?,1.923,-1.54%
2021?1?14?,1.953,1.35%
2021?1?13?,1.927,2.01%
2021?1?12?,1.889,2.27%
2021?1?11?,1.847,2.10%
2021?1?8?,1.809,0.17%
2021?1?7?,1.806,-1.10%
2021?1?6?,1.826,-1.30%
2021?1?5?,1.85,4.40%
2021?1?4?,1.772,2.49%
2021?1?1?,1.729,0.00%
2020?12?31?,1.729,1.77%
2020?12?30?,1.699,1.68%
2020?12?29?,1.671,0.48%
2020?12?28?,1.663,-0.66%
2020?12?25?,1.674,-1.99%
2020?12?24?,1.708,-0.12%
2020?12?23?,1.71,2.52%
2020?12?22?,1.668,-3.30%
2020?12?21?,1.725,1.71%
2020?12?18?,1.696,-1.22%
2020?12?17?,1.717,0.76%
2020?12?16?,1.704,-1.79%
2020?12?15?,1.735,-1.87%
2020?12?14?,1.768,0.40%
2020?12?11?,1.761,0.06%
2020?12?10?,1.76,1.85%
2020?12?9?,1.728,-2.32%
2020?12?8?,1.769,0.17%
2020?12?7?,1.766,1.26%
2020?12?4?,1.744,-0.29%
2020?12?3?,1.749,-2.29%
2020?12?2?,1.79,0.79%
2020?12?1?,1.776,1.02%
2020?11?30?,1.758,1.50%
2020?11?27?,1.732,0.52%
2020?11?26?,1.723,-1.37%
2020?11?25?,1.747,-0.29%
2020?11?24?,1.752,0.86%
2020?11?23?,1.737,0.29%
2020?11?20?,1.732,-0.86%
2020?11?19?,1.747,-0.11%
2020?11?18?,1.749,-0.29%
2020?11?17?,1.754,1.62%
2020?11?16?,1.726,-1.88%
2020?11?13?,1.759,1.68%
2020?11?12?,1.73,0.64%
2020?11?11?,1.719,-6.42%
2020?11?10?,1.837,-3.52%
2020?11?9?,1.904,8.74%
2020?11?6?,1.751,2.28%
2020?11?5?,1.712,1.78%
2020?11?4?,1.682,-1.29%
2020?11?3?,1.704,1.55%
2020?11?2?,1.678,2.69%
2020?10?30?,1.634,3.09%
2020?10?29?,1.585,0.19%
2020?10?28?,1.582,0.19%
2020?10?27?,1.579,1.41%
2020?10?26?,1.557,0.91%
2020?10?23?,1.543,-2.28%
2020?10?22?,1.579,-0.50%
2020?10?21?,1.587,-2.40%
2020?10?20?,1.626,0.00%
2020?10?19?,1.626,-0.91%
2020?10?16?,1.641,-0.12%
2020?10?15?,1.643,-0.18%
2020?10?14?,1.646,-2.66%
2020?10?13?,1.691,-1.46%
2020?10?12?,1.716,6.06%
2020?10?9?,1.618,2.47%
2020?10?8?,1.579,0.00%
2020?10?7?,1.579,0.00%
2020?10?6?,1.579,0.00%
